Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Haifa,45.2,"13,240",813,4000,
Haifa,29.7,"11,207",821,4000,
Haifa,38.3,"11,974",822,4000,
Haifa,42.4,"14,139",823,4000,
Haifa,39.5,"12,126",824,4000,
Haifa,32.2,"11,637",911,4000,
Haifa,36.7,"11,208",912,4000,
Haifa,43.2,"14,065",921,4000,
Haifa,43.4,"15,945",922,4000,
Haifa,37.1,"12,921",931,4000,
Haifa,44.4,"14,400",932,4000,
Haifa,39.8,"12,292",933,4000,
Haifa,38.2,"13,091",934,4000,
Haifa,40.6,"16,721",941,4000,
Haifa,41.1,"15,131",942,4000,
Haifa,44.8,"14,926",943,4000,
Haifa,39.0,"17,337",944,4000,
Rishon LeZiyyon,27.4,"15,092",113,8300,
Rishon LeZiyyon,14.1,"11,108",114,8300,
Rishon LeZiyyon,11.9,"13,105",115,8300,
Rishon LeZiyyon,12.7,"11,784",116,8300,
Rishon LeZiyyon,16.3,"13,355",117,8300,
Rishon LeZiyyon,14.6,"12,362",121,8300,
Rishon LeZiyyon,15.0,"12,464",122,8300,
Rishon LeZiyyon,13.9,"11,759",123,8300,
Rishon LeZiyyon,18.0,"11,058",124,8300,
Rishon LeZiyyon,14.8,"13,602",125,8300,
Rishon LeZiyyon,17.0,"12,389",126,8300,
Rishon LeZiyyon,16.0,"11,528",211,8300,
Rishon LeZiyyon,11.7,"13,296",212,8300,
Rishon LeZiyyon,13.0,"14,280",213,8300,
Rishon LeZiyyon,26.4,"14,218",214,8300,
Rishon LeZiyyon,25.6,"13,075",215,8300,
Rishon LeZiyyon,18.9,"12,313",221,8300,
Rishon LeZiyyon,18.8,"13,203",222,8300,
Rishon LeZiyyon,25.4,"15,630",223,8300,
Rishon LeZiyyon,23.3,"12,944",224,8300,
Rishon LeZiyyon,19.3,"12,818",225,8300,
Rishon LeZiyyon,13.5,"15,632",311,8300,
Rishon LeZiyyon,21.1,"11,883",312,8300,
Rishon LeZiyyon,19.8,"13,883",313,8300,
Rishon LeZiyyon,18.1,"13,213",314,8300,
Rishon LeZiyyon,15.5,"13,998",315,8300,
Rishon LeZiyyon,31.6,"12,457",411,8300,
Rishon LeZiyyon,26.8,"14,202",412,8300,
Rishon LeZiyyon,21.8,"13,258",413,8300,
Rishon LeZiyyon,20.7,"12,521",421,8300,
Rishon LeZiyyon,21.1,"12,997",422,8300,
Rishon LeZiyyon,24.1,"12,602",423,8300,
Rishon LeZiyyon,25.9,"15,355",424,8300,
Rishon LeZiyyon,17.9,"13,501",425,8300,
Rishon LeZiyyon,21.1,"13,976",426,8300,
Rishon LeZiyyon,4.1,"11,612",511,8300,
Rishon LeZiyyon,6.5,"12,165",512,8300,
Rishon LeZiyyon,6.7,"11,750",513,8300,
Rishon LeZiyyon,23.2,"12,468",514,8300,
Rishon LeZiyyon,22.7,"15,289",515,8300,
Rishon LeZiyyon,25.1,"15,172",516,8300,
Rishon LeZiyyon,20.3,"14,800",521,8300,
Rishon LeZiyyon,18.8,"14,467",522,8300,
Rishon LeZiyyon,18.4,"13,652",523,8300,
Rishon LeZiyyon,17.9,"13,616",524,8300,
Rishon LeZiyyon,21.7,"14,957",531,8300,
Rishon LeZiyyon,21.2,"14,476",532,8300,
Rishon LeZiyyon,21.3,"16,106",533,8300,
Rishon LeZiyyon,20.5,"16,707",534,8300,
Rishon LeZiyyon,27.1,"18,189",611,8300,
